Type,Date,Description,Category,Amount,Account
Credit,2026-01-01,Salary,Salary,85000,HDFC Bank
Credit,2026-01-02,Freelance Project,Salary,25000,ICICI Bank
Debit,2026-01-03,Amazon Shopping,Shopping,4500,HDFC Bank
Debit,2026-01-04,Swiggy Order,Food,850,ICICI Bank
Debit,2026-01-05,Zomato Order,Food,620,HDFC Bank
Debit,2026-01-06,BigBasket,Groceries,3200,HDFC Bank
Debit,2026-01-07,Milk,Groceries,150,ICICI Bank
Debit,2026-01-08,Vegetables,Groceries,450,HDFC Bank
Debit,2026-01-09,Groceries,Groceries,1800,ICICI Bank
Debit,2026-01-10,Electricity Bill,Bills,2200,HDFC Bank
Debit,2026-01-11,Water Bill,Bills,350,ICICI Bank
Debit,2026-01-12,Internet Bill,Bills,1200,HDFC Bank
Debit,2026-01-13,Netflix Subscription,Entertainment,649,ICICI Bank
Debit,2026-01-14,Petrol,Travel,2500,HDFC Bank
Debit,2026-01-15,Uber Ride,Travel,380,ICICI Bank
Debit,2026-01-16,Bus Pass,Travel,1500,HDFC Bank
Debit,2026-01-17,Medicine,Health,1200,ICICI Bank
Debit,2026-01-18,Pharmacy,Health,850,HDFC Bank
Debit,2026-01-19,Restaurant,Food,1800,ICICI Bank
Debit,2026-01-20,Coffee Shop,Food,250,HDFC Bank
Debit,2026-01-21,Shopping,Shopping,3500,ICICI Bank
Debit,2026-01-22,Movie Tickets,Entertainment,600,HDFC Bank
Debit,2026-01-23,Gym Membership,Health,2000,ICICI Bank
Debit,2026-01-24,Travel Booking,Travel,8500,HDFC Bank
Transfer,2026-01-25,Transfer to Savings,Transfer,10000,HDFC Bank
Debit,2026-01-26,ATM Withdrawal,Transfer,5000,ICICI Bank
Credit,2026-01-27,Interest,Investment,1200,HDFC Bank
Credit,2026-01-28,Cash Deposit,Transfer,3000,ICICI Bank
Credit,2026-02-01,Salary,Salary,85000,HDFC Bank
Debit,2026-02-02,Amazon Shopping,Shopping,2800,ICICI Bank
Debit,2026-02-03,Swiggy Order,Food,720,HDFC Bank
Debit,2026-02-04,Zomato Order,Food,580,ICICI Bank
Debit,2026-02-05,BigBasket,Groceries,2800,HDFC Bank
Debit,2026-02-06,Milk,Groceries,150,ICICI Bank
Debit,2026-02-07,Vegetables,Groceries,380,HDFC Bank
Debit,2026-02-08,Groceries,Groceries,1500,ICICI Bank
Debit,2026-02-09,Electricity Bill,Bills,2200,HDFC Bank
Debit,2026-02-10,Water Bill,Bills,350,ICICI Bank
Debit,2026-02-11,Internet Bill,Bills,1200,HDFC Bank
Debit,2026-02-12,Netflix Subscription,Entertainment,649,ICICI Bank
Debit,2026-02-13,Petrol,Travel,2200,HDFC Bank
Debit,2026-02-14,Uber Ride,Travel,420,ICICI Bank
Debit,2026-02-15,Bus Pass,Travel,1500,HDFC Bank
Debit,2026-02-16,Medicine,Health,950,ICICI Bank
Debit,2026-02-17,Pharmacy,Health,720,HDFC Bank
Debit,2026-02-18,Restaurant,Food,1650,ICICI Bank
Debit,2026-02-19,Coffee Shop,Food,280,HDFC Bank
Debit,2026-02-20,Shopping,Shopping,4200,ICICI Bank
Debit,2026-02-21,Movie Tickets,Entertainment,550,HDFC Bank
Debit,2026-02-22,Gym Membership,Health,2000,ICICI Bank
Debit,2026-02-23,Travel Booking,Travel,6200,HDFC Bank
Transfer,2026-02-24,Transfer to Savings,Transfer,15000,HDFC Bank
Debit,2026-02-25,ATM Withdrawal,Transfer,3000,ICICI Bank
Credit,2026-02-26,Freelance Project,Salary,18000,ICICI Bank
Credit,2026-02-27,Interest,Investment,1500,HDFC Bank
Credit,2026-03-01,Salary,Salary,85000,HDFC Bank
Debit,2026-03-02,Flipkart Order,Shopping,5200,ICICI Bank
Debit,2026-03-03,Swiggy Order,Food,950,HDFC Bank
Debit,2026-03-04,Zomato Order,Food,780,ICICI Bank
Debit,2026-03-05,BigBasket,Groceries,3500,HDFC Bank
Debit,2026-03-06,Milk,Groceries,180,ICICI Bank
Debit,2026-03-07,Fruits,Groceries,520,HDFC Bank
Debit,2026-03-08,Groceries,Groceries,2100,ICICI Bank
Debit,2026-03-09,Electricity Bill,Bills,2400,HDFC Bank
Debit,2026-03-10,Water Bill,Bills,380,ICICI Bank
Debit,2026-03-11,Internet Bill,Bills,1300,HDFC Bank
Debit,2026-03-12,Spotify Subscription,Entertainment,119,ICICI Bank
Debit,2026-03-13,Diesel,Travel,2800,HDFC Bank
Debit,2026-03-14,Ola Ride,Travel,450,ICICI Bank
Debit,2026-03-15,Metro Pass,Travel,1800,HDFC Bank
Debit,2026-03-16,Doctor Visit,Health,1500,ICICI Bank
Debit,2026-03-17,Medical Store,Health,920,HDFC Bank
Debit,2026-03-18,Restaurant,Food,2100,ICICI Bank
Debit,2026-03-19,Tea Shop,Food,180,HDFC Bank
Debit,2026-03-20,Myntra Shopping,Shopping,5800,ICICI Bank
Debit,2026-03-21,Concert Tickets,Entertainment,2500,HDFC Bank
Debit,2026-03-22,Yoga Class,Health,2500,ICICI Bank
Debit,2026-03-23,Flight Booking,Travel,12000,HDFC Bank
Transfer,2026-03-24,Transfer to Savings,Transfer,20000,HDFC Bank
Debit,2026-03-25,ATM Withdrawal,Transfer,4000,ICICI Bank
Credit,2026-03-26,Stock Dividend,Investment,2500,HDFC Bank
Credit,2026-03-27,Bonus,Salary,30000,ICICI Bank
Credit,2026-04-01,Salary,Salary,85000,HDFC Bank
Debit,2026-04-02,Amazon Shopping,Shopping,3800,ICICI Bank
Debit,2026-04-03,Swiggy Order,Food,890,HDFC Bank
Debit,2026-04-04,Zomato Order,Food,650,ICICI Bank
Debit,2026-04-05,BigBasket,Groceries,3100,HDFC Bank
Debit,2026-04-06,Milk,Groceries,160,ICICI Bank
Debit,2026-04-07,Vegetables,Groceries,420,HDFC Bank
Debit,2026-04-08,Groceries,Groceries,1900,ICICI Bank
Debit,2026-04-09,Electricity Bill,Bills,2300,HDFC Bank
Debit,2026-04-10,Water Bill,Bills,360,ICICI Bank
Debit,2026-04-11,Internet Bill,Bills,1250,HDFC Bank
Debit,2026-04-12,Prime Subscription,Entertainment,1499,ICICI Bank
Debit,2026-04-13,Petrol,Travel,2400,HDFC Bank
Debit,2026-04-14,Uber Ride,Travel,390,ICICI Bank
Debit,2026-04-15,Bus Pass,Travel,1600,HDFC Bank
Debit,2026-04-16,Medicine,Health,1100,ICICI Bank
Debit,2026-04-17,Pharmacy,Health,780,HDFC Bank
Debit,2026-04-18,Restaurant,Food,1750,ICICI Bank
Debit,2026-04-19,Coffee Shop,Food,290,HDFC Bank
Debit,2026-04-20,Shopping,Shopping,4600,ICICI Bank
Debit,2026-04-21,Movie Tickets,Entertainment,580,HDFC Bank
Debit,2026-04-22,Gym Membership,Health,2200,ICICI Bank
Debit,2026-04-23,Travel Booking,Travel,7500,HDFC Bank
Transfer,2026-04-24,Transfer to Savings,Transfer,18000,HDFC Bank
Debit,2026-04-25,ATM Withdrawal,Transfer,3500,ICICI Bank
Credit,2026-04-26,Freelance Project,Salary,22000,ICICI Bank
Credit,2026-04-27,Interest,Investment,1800,HDFC Bank
Credit,2026-05-01,Salary,Salary,85000,HDFC Bank
Debit,2026-05-02,Amazon Shopping,Shopping,4100,ICICI Bank
Debit,2026-05-03,Swiggy Order,Food,820,HDFC Bank
Debit,2026-05-04,Zomato Order,Food,690,ICICI Bank
Debit,2026-05-05,BigBasket,Groceries,3300,HDFC Bank
Debit,2026-05-06,Milk,Groceries,170,ICICI Bank
Debit,2026-05-07,Vegetables,Groceries,440,HDFC Bank
Debit,2026-05-08,Groceries,Groceries,2000,ICICI Bank
Debit,2026-05-09,Electricity Bill,Bills,2350,HDFC Bank
Debit,2026-05-10,Water Bill,Bills,370,ICICI Bank
Debit,2026-05-11,Internet Bill,Bills,1280,HDFC Bank
Debit,2026-05-12,Netflix Subscription,Entertainment,649,ICICI Bank
Debit,2026-05-13,Petrol,Travel,2600,HDFC Bank
Debit,2026-05-14,Uber Ride,Travel,410,ICICI Bank
Debit,2026-05-15,Bus Pass,Travel,1550,HDFC Bank
Debit,2026-05-16,Medicine,Health,1050,ICICI Bank
Debit,2026-05-17,Pharmacy,Health,750,HDFC Bank
Debit,2026-05-18,Restaurant,Food,1900,ICICI Bank
Debit,2026-05-19,Coffee Shop,Food,270,HDFC Bank
Debit,2026-05-20,Shopping,Shopping,4800,ICICI Bank
Debit,2026-05-21,Movie Tickets,Entertainment,620,HDFC Bank
Debit,2026-05-22,Gym Membership,Health,2100,ICICI Bank
Debit,2026-05-23,Travel Booking,Travel,8200,HDFC Bank
Transfer,2026-05-24,Transfer to Savings,Transfer,16000,HDFC Bank
Debit,2026-05-25,ATM Withdrawal,Transfer,3800,ICICI Bank
Credit,2026-05-26,Freelance Project,Salary,19500,ICICI Bank
Credit,2026-05-27,Interest,Investment,1650,HDFC Bank
Credit,2026-06-01,Salary,Salary,85000,HDFC Bank
Debit,2026-06-02,Amazon Shopping,Shopping,3600,ICICI Bank
Debit,2026-06-03,Swiggy Order,Food,870,HDFC Bank
Debit,2026-06-04,Zomato Order,Food,630,ICICI Bank
Debit,2026-06-05,BigBasket,Groceries,3000,HDFC Bank
Debit,2026-06-06,Milk,Groceries,155,ICICI Bank
Debit,2026-06-07,Vegetables,Groceries,400,HDFC Bank
Debit,2026-06-08,Groceries,Groceries,1850,ICICI Bank
Debit,2026-06-09,Electricity Bill,Bills,2250,HDFC Bank
Debit,2026-06-10,Water Bill,Bills,355,ICICI Bank
Debit,2026-06-11,Internet Bill,Bills,1220,HDFC Bank
Debit,2026-06-12,Netflix Subscription,Entertainment,649,ICICI Bank
Debit,2026-06-13,Petrol,Travel,2300,HDFC Bank
Debit,2026-06-14,Uber Ride,Travel,400,ICICI Bank
Debit,2026-06-15,Bus Pass,Travel,1450,HDFC Bank
Debit,2026-06-16,Medicine,Health,980,ICICI Bank
Debit,2026-06-17,Pharmacy,Health,700,HDFC Bank
Debit,2026-06-18,Restaurant,Food,1700,ICICI Bank
Debit,2026-06-19,Coffee Shop,Food,260,HDFC Bank
Debit,2026-06-20,Shopping,Shopping,4400,ICICI Bank
Debit,2026-06-21,Movie Tickets,Entertainment,560,HDFC Bank
Debit,2026-06-22,Gym Membership,Health,1900,ICICI Bank
Debit,2026-06-23,Travel Booking,Travel,7000,HDFC Bank
Transfer,2026-06-24,Transfer to Savings,Transfer,14000,HDFC Bank
Debit,2026-06-25,ATM Withdrawal,Transfer,3200,ICICI Bank
Credit,2026-06-26,Freelance Project,Salary,17500,ICICI Bank
Credit,2026-06-27,Interest,Investment,1550,HDFC Bank